Hora;Submercado;1/5/2026;2/5/2026;3/5/2026;4/5/2026;5/5/2026;6/5/2026;7/5/2026;8/5/2026;9/5/2026;10/5/2026;11/5/2026;12/5/2026;13/5/2026;14/5/2026;15/5/2026;16/5/2026;17/5/2026;18/5/2026;19/5/2026;20/5/2026;21/5/2026;22/5/2026;23/5/2026;24/5/2026;25/5/2026;26/5/2026;27/5/2026;28/5/2026;29/5/2026;30/5/2026;31/5/2026
0;SUDESTE;290,66;379,67;373,24;368;376,93;378,79;375,08;376,29;263,51;252,09;258,94;254,07;255,5;254,7;262,68;203,17;148,46;177,26;201,96;195,9;192,54;196,48;171,3;227,26;189,94;299,75;300,83;298,02;297,37;219,2;222,6
0;SUL;290,67;379,68;373,25;368,01;376,94;378,8;375,09;376,3;263,52;252,1;258,95;254,08;255,51;254,71;262,69;203,18;148,47;177,27;201,97;195,91;192,55;196,49;171,31;227,27;189,95;299,76;300,84;298,03;297,38;219,2;222,61
0;NORDESTE;57,31;66,4;69,8;64,11;57,31;57,31;65,34;238,82;263,5;252,08;258,94;254,06;240,74;254,69;262,68;203,17;148,45;177,26;201,95;195,89;192,53;196,47;128,84;227,26;189,93;299,74;300,82;298,01;297,36;219,2;222,59
0;NORTE;57,31;66,41;69,8;64,12;57,31;57,31;65,35;238,82;263,5;252,08;258,93;254,06;240,74;254,69;262,67;203,16;148,45;177,25;201,95;195,9;192,53;196,48;128,84;227,26;189,94;299,75;300,83;298,02;297,37;219,2;222,6
1;SUDESTE;285,01;368,4;300,24;354,99;369,11;373,94;372,95;370,05;258,24;196,65;240,45;175,48;202,06;223,78;260,55;188,39;135,55;172,23;196,03;188,51;185,98;186,79;103,51;219,75;187,56;297,82;298,47;297,04;296,48;219,2;221,28
1;SUL;285,02;368,41;300,25;355;369,11;373,95;372,96;370,06;258,24;196,66;240,46;175,49;202,07;223,79;260,56;188,4;135,56;172,23;196,04;188,52;185,99;186,8;103,52;219,76;187,56;297,83;298,48;297,05;296,49;219,2;221,29
1;NORDESTE;57,31;57,31;60,04;57,31;57,31;57,31;57,31;238,76;257,42;196,65;240,45;175,47;202,05;223,77;260,55;188,38;135,54;172,22;196,03;188,5;185,97;186,78;103,5;219,74;187,55;297,81;298,46;297,03;296,47;219,2;221,27
1;NORTE;57,31;57,31;60,05;57,31;57,31;57,31;57,31;238,76;257,42;196,64;240,44;175,47;202,05;223,77;260,55;188,38;135,54;172,22;196,02;188,51;185,98;186,79;103,5;219,75;187,56;297,82;298,47;297,04;296,48;219,2;221,28
2;SUDESTE;282,58;337,15;57,31;265,54;359,41;373;370,5;364,27;246,67;186,07;181,73;160,89;158,13;158,96;260,13;175,12;127,29;165,69;192,79;183,7;182,6;181;62,71;219,26;187,54;294,47;296,24;296,25;295,83;219,2;220,99
2;SUL;282,59;337,16;57,31;265,54;359,42;373,01;370,51;364,28;246,68;186,08;181,74;160,9;158,14;158,97;260,14;175,13;127,3;165,7;192,8;183,71;182,61;181,01;62,72;219,27;187,55;294,48;296,25;296,26;295,84;219,2;221
2;NORDESTE;57,31;57,31;57,31;57,31;57,31;57,31;57,31;238,7;246,66;186,06;181,72;160,89;158,12;158,95;260,12;175,11;127,28;165,69;192,79;183,7;182,59;180,99;62,7;219,25;187,54;294,46;296,24;296,24;295,82;219,2;220,98
2;NORTE;57,31;57,31;57,31;57,31;57,31;57,31;57,31;238,7;246,66;186,07;181,72;160,89;158,13;158,95;260,13;175,11;127,28;165,69;192,79;183,7;182,6;181;62,71;219,26;187,54;294,47;296,24;296,25;295,83;219,2;220,99
3;SUDESTE;281,88;205,62;57,31;136,81;337,27;371,72;367,12;359,35;253,27;193,92;181,73;180,93;187,19;189,57;260,02;174,93;129,59;170,29;191,15;184,88;182,6;188,34;97,68;219,23;187,61;296,14;296,66;296,64;293,02;219,2;221,48
3;SUL;281,89;205,63;57,31;136,82;337,28;371,72;367,13;359,36;253,28;193,93;181,74;180,94;187,19;189,58;260,03;174,94;129,6;170,3;191,16;184,89;182,61;188,35;97,69;219,24;187,62;296,15;296,67;296,65;293,03;219,2;221,49
3;NORDESTE;57,31;57,31;57,31;57,31;57,31;57,31;73,42;238,64;253,26;193,92;181,72;180,93;187,18;189,56;260,02;174,93;129,58;170,28;191,15;184,88;182,59;188,33;97,67;219,22;187,61;296,13;296,66;296,64;293,01;219,2;221,47
3;NORTE;57,31;57,31;57,31;57,31;57,31;57,31;73,43;238,64;253,26;193,92;181,72;180,93;187,18;189,57;260,02;174,92;129,58;170,29;191,15;184,88;182,6;188,33;97,68;219,23;187,61;296,14;296,66;296,64;293,02;219,2;221,48
4;SUDESTE;281,06;207,51;57,31;332,49;359,41;372,45;367,95;363,36;255,88;219,17;244,13;214,87;194,97;211,87;260,73;174,95;127,49;172,15;194,72;189,88;186,14;190,2;106,01;220,1;187,79;298,4;297,29;296,93;295,28;219,2;221,66
4;SUL;281,07;207,52;57,31;332,5;359,42;372,45;367,96;363,37;255,89;219,17;244,14;214,88;194,97;211,88;260,74;174,96;127,5;172,16;194,73;189,89;186,14;190,21;106,02;220,11;187,8;298,41;297,3;296,94;295,29;219,2;221,67
4;NORDESTE;57,31;57,31;57,31;57,31;57,31;57,31;57,31;238,44;255,87;219,16;244,13;214,86;194,96;211,86;260,72;174,95;127,48;172,15;194,72;189,87;186,13;190,2;106;220,1;187,78;298,39;297,29;296,92;295,27;219,2;221,66
4;NORTE;57,31;57,31;57,31;57,31;57,31;57,31;57,31;238,44;255,87;219,17;244,12;214,87;194,96;211,87;260,73;174,94;127,49;172,14;194,71;189,88;186,14;190,2;106,01;220,1;187,79;298,4;297,29;296,93;295,28;219,2;221,67
5;SUDESTE;279,52;286,1;57,31;372,18;372,88;377,55;374,83;370,06;259,55;224,75;263,09;260,99;256,2;254,63;263,03;165,85;125,71;185,82;200,01;195,86;194,71;195,35;114,18;219,04;201,76;301,54;300,62;299,09;297,51;219,2;221,59
5;SUL;279,53;286,11;57,31;372,19;372,89;377,56;374,84;370,07;259,56;224,76;263,1;261;256,21;254,64;263,04;165,86;125,71;185,83;200,02;195,87;194,72;195,35;114,19;219,05;201,77;301,55;300,63;299,1;297,52;219,2;221,6
5;NORDESTE;57,31;57,31;57,31;57,31;57,31;57,31;57,31;237,7;259,55;224,75;263,08;260,99;256,19;254,62;263,02;165,85;125,7;185,81;200;195,85;194,7;195,34;114,17;219,03;201,75;301,54;300,62;299,08;297,5;219,2;221,58
